number,title,genre,author,date,in.year,,,,,,,,,
80,This Book Will Save Your Life,,A.M.Homes,7/7/2009,9,,,,,,,,,
81,"Time, Love, Memory",,Jonathan Weiner,7/25/2009,10,,,,,,,,,
82,Half a Life,,V.S. Naipaul,7/28/2009,11,,,,,,,,,
83,A Dirty Job,,Christopher Moore,7/30/2009,12,,,,,,,,,
84,The Book of Dave,,Will Self,8/13/2009,13,,,,,,,,,
85,The Crazed,,Ha Jin,8/23/2009,14,,,,,,,,,
86,A Boy and His Horse,,C.S. Lewis,9/18/2009,15,,,,,,,,,
87,Johnathan Livingston Seagull,,Richard Bach,10/1/2009,16,,,,,,,,,
88,Diamond Age,,Neal Stephenson,10/1/2009,17,,,,,,,,,
89,Best Served Cold,,Joe Abercrombie,10/5/2009,18,,,,,,,,,
90,Gospel According to the Son,,Norman Mailer,10/10/2009,19,,,,,,,,,
91,Underachiever's Diary,,Benjamin Anastas,10/11/2009,20,,,,,,,,,
92,Light,,M. John Harrison,11/5/2009,21,,,,,,,,,
93,Shadow of the Wind,,Carlos Ruiz Zafon,11/14/2009,22,,,,,,,,,
94,The Year of the Flood,,Margret Atwood,11/25/2009,23,,,,,,,,,
95,Special Topics in Calamity Physics,,Marisha Pessl,12/14/2009,24,,,,,,,,,
96,The Amber Spyglass,,Philip Pullman,12/27/2009,25,,,,,,,,,
97,Memories of My Melancholy Whores,,Gabriel Garcia Marquez,1/14/2010,1,,,,,,,,,
98,Jerusalem,,Goncalo M. Tavares,2/7/2010,2,,,,,,,,,
99,Beneath the Wheel,,Herman Hesse,2/21/2010,3,,,,,,,,,
100,Vox,,Nicholson Baker,3/9/2010,4,,,,,,,,,
101,Guided Tours of Hell,,Francine Prose,3/14/2010,5,,,,,,,,,
102,God in a Cup,,Michaele Weissman,3/18/2010,6,,,,,,,,,
103,Anthem,,Ayn Rand,3/27/2010,7,,,,,,,,,
104,The Book of Laughter and Forgetting,,Milan Kundera,4/3/2010,8,,,,,,,,,
105,On Death and Dying,,Elisabeth Kubler-Ross,4/4/2010,9,,,,,,,,,
106,Decoding the Universe,,Charles Sierfe,5/26/2010,10,,,,,,,,,
107,Blindness,,Jose Saramago,6/16/2010,11,,,,,,,,,
108,The Magician's Nephew,,C.S. Lewis,6/22/2010,12,,,,,,,,,
109,The Way of Shadows,,Brent Weeks,6/29/2010,13,,,,,,,,,
110,The Ghost in Love,,Jonathan Carroll,7/17/2010,14,,,,,,,,,
111,Name of the Rose,,Umberto Eco,9/11/2010,15,,,,,,,,,
112,You are not a Gadget,,Jaron Lanier,10/10/2010,16,,,,,,,,,
113,The Last Battle,,C.S. Lewis,10/17/2010,17,,,,,,,,,
114,Love at Goon Park,,Deborah Blum,10/31/2010,18,,,,,,,,,
115,Objects of Worship,,Claude Luminere,11/24/2010,19,,,,,,,,,
116,Katie: An Impertinent Fairy Tale,,B. J. Chute,1/15/2011,1,,,,,,,,,
117,Paul Broca,,Francis Schiller,3/18/2011,2,,,,,,,,,
118,Mezzanine ,,Nicholson Baker,3/24/2011,3,,,,,,,,,
119,Better: A Surgeon's Notes on Performance,,Atul Gawande,4/16/2011,4,,,,,,,,,
120,Life and Other Stories,,Ted Chiang,6/21/2011,5,,,,,,,,,
121,Snow Crash,,Neal Stephenson,6/28/2011,6,,,,,,,,,
122,One Hundred Years of Solitude,,Gabriel Garcia Marquez,7/3/2011,7,,,,,,,,,
123,The Emperor of All Maladies,,Siddhartha Mukherjee,7/7/2011,8,,,,,,,,,
124,Mathematicians in Love,,Rudy Rucker,8/2/2011,9,,,,,,,,,
125,Ready Player One,,Ernest Cline,8/18/2011,10,,,,,,,,,
126,Complications,,Atul Gawande,9/5/2011,11,,,,,,,,,
127,The Life Cycle of Software Objects,,Ted Chiang,9/16/2011,12,,,,,,,,,
128,Elementary Particles,,Michel Houellebecq,10/9/2011,13,,,,,,,,,
