date,pages,title,media,status
10/30/2013,20,The Circle,eBook,insitu
10/30/2013,50,"Nostalgia Factory: Memory, Time and Ageing",eBook,insitu
10/31/2013,20,The Circle,eBook,insitu
11/1/2013,90,The Circle,eBook,insitu
11/2/2013,6,The Circle,eBook,finish
11/5/2013,20,Lamb,eBook,insitu
11/7/2013,10,Thinking Fast and Slow,eBook,insitu
11/17/2013,10,Liver,eBook,start
11/21/2013,4,The Bleeding Edge,eBook,insitu
11/24/2013,15,Harper's,Magazine,insitu
11/24/2013,5,Unbearable Lightness of Being,Book,start
11/24/2013,10,"Nostalgia Factory: Memory, Time and Ageing",eBook,insitu
11/25/2013,2,Unbearable Lightness of Being,Book,insitu
11/25/2013,5,"Nostalgia Factory: Memory, Time and Ageing",eBook,insitu
11/26/2013,5,"Nostalgia Factory: Memory, Time and Ageing",eBook,insitu
11/27/2013,15,"Nostalgia Factory: Memory, Time and Ageing",eBook,insitu
11/27/2013,10,Jonathan Strange and Mr. Norrell,eBook,insitu
11/28/2013,15,Harper's,Magazine,insitu
11/28/2013,20,Jonathan Strange and Mr. Norrell,eBook,insitu
11/29/2013,10,Harper's,Magazine,insitu
11/29/2013,20,R Graphics Cookbook,Book,start
11/29/2013,8,Jonathan Strange and Mr. Norrell,eBook,insitu
11/30/2013,20,"Nostalgia Factory: Memory, Time and Ageing",eBook,finish
11/30/2013,31,Lamb,eBook,insitu
12/1/2013,5,Jonathan Strange and Mr. Norrell,eBook,insitu
12/1/2013,18,Intuition Pumps and Other Tools for Thinking,eBook,insitu
12/2/2013,8,Intuition Pumps and Other Tools for Thinking,eBook,insitu
12/2/2013,5,Dealer's of Lightning: Xerox PARC and the Dawn of Computer Age,Book,insitu
12/3/2013,6,Lamb,eBook,insitu
12/3/2013,4,C,eBook,insitu
12/3/2013,10,Intuition Pumps and Other Tools for Thinking,eBook,insitu
12/4/2013,5,Intuition Pumps and Other Tools for Thinking,eBook,insitu
12/5/2013,20,Jonathan Strange and Mr. Norrell,eBook,insitu
12/6/2013,14,Dealer's of Lightning: Xerox PARC and the Dawn of Computer Age,Book,insitu
12/7/2013,16,Jonathan Strange and Mr. Norrell,eBook,insitu
12/8/2013,25,Lamb,eBook,insitu
12/9/2013,20,Intuition Pumps and Other Tools for Thinking,eBook,insitu
12/10/2013,24,Skinny Legs and All,eBook,insitu
12/11/2013,56,Lamb,eBook,insitu
12/12/2013,3,Life at the speed of light,eBook,start
12/13/2013,11,C,eBook,insitu
12/14/2013,2,Dealer's of Lightning: Xerox PARC and the Dawn of Computer Age,Book,insitu
12/20/2013,19,Lamb,eBook,insitu
12/21/2013,27,Lamb,eBook,insitu
12/22/2013,48,Lamb,eBook,finish
12/22/2013,3,Bleeding Edge,eBook,insitu
